Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)",ICD10 codes
Actual,Breast cancer,1987,Males,05–09,0,0.0,C50
Actual,Breast cancer,1987,Males,10–14,0,0.0,C50
Actual,Breast cancer,1987,Males,15–19,0,0.0,C50
Actual,Breast cancer,1987,Males,20–24,0,0.0,C50
Actual,Breast cancer,1987,Males,25–29,0,0.0,C50
Actual,Breast cancer,1987,Males,30–34,1,0.2,C50
Actual,Breast cancer,1987,Males,35–39,3,0.5,C50
Actual,Breast cancer,1987,Males,40–44,0,0.0,C50
Actual,Breast cancer,1987,Males,45–49,4,0.9,C50
Actual,Breast cancer,1987,Males,50–54,2,0.5,C50
Actual,Breast cancer,1987,Males,55–59,10,2.6,C50
Actual,Breast cancer,1987,Males,60–64,7,2.0,C50
Actual,Breast cancer,1987,Males,65–69,11,3.9,C50
Actual,Breast cancer,1987,Males,70–74,5,2.3,C50
Actual,Breast cancer,1987,Males,75–79,7,5.1,C50
Actual,Breast cancer,1987,Males,80–84,4,5.7,C50
Actual,Breast cancer,1987,Males,85–89,1,3.7,C50
Actual,Breast cancer,1987,Males,90+,0,0.0,C50
Actual,Breast cancer,1987,Males,Unknown,0,. .,C50
Actual,Breast cancer,1988,Males,00–04,0,0.0,C50
Actual,Breast cancer,1988,Males,05–09,0,0.0,C50
Actual,Breast cancer,1988,Males,10–14,1,0.2,C50
Actual,Breast cancer,1988,Males,15–19,0,0.0,C50
Actual,Breast cancer,1988,Males,20–24,0,0.0,C50
Actual,Breast cancer,1988,Males,25–29,0,0.0,C50
Actual,Breast cancer,1988,Males,30–34,0,0.0,C50
Actual,Breast cancer,1988,Males,35–39,1,0.2,C50
Actual,Breast cancer,1988,Males,40–44,2,0.3,C50
Actual,Breast cancer,1988,Males,45–49,2,0.4,C50
Actual,Breast cancer,1988,Males,50–54,2,0.5,C50
Actual,Breast cancer,1988,Males,55–59,6,1.6,C50
Actual,Breast cancer,1988,Males,60–64,7,1.9,C50
Actual,Breast cancer,1988,Males,65–69,12,4.1,C50
Actual,Breast cancer,1988,Males,70–74,12,5.6,C50
Actual,Breast cancer,1988,Males,75–79,9,6.3,C50
Actual,Breast cancer,1988,Males,80–84,4,5.4,C50
Actual,Breast cancer,1988,Males,85–89,3,10.5,C50
Actual,Breast cancer,1988,Males,90+,0,0.0,C50
Actual,Breast cancer,1988,Males,Unknown,0,. .,C50
Actual,Breast cancer,1989,Males,00–04,0,0.0,C50
Actual,Breast cancer,1989,Males,05–09,0,0.0,C50
Actual,Breast cancer,1989,Males,10–14,0,0.0,C50
Actual,Breast cancer,1989,Males,15–19,0,0.0,C50
Actual,Breast cancer,1989,Males,20–24,0,0.0,C50
Actual,Breast cancer,1989,Males,25–29,0,0.0,C50
Actual,Breast cancer,1989,Males,30–34,0,0.0,C50
Actual,Breast cancer,1989,Males,35–39,3,0.5,C50
Actual,Breast cancer,1989,Males,40–44,2,0.3,C50
Actual,Breast cancer,1989,Males,45–49,3,0.6,C50
Actual,Breast cancer,1989,Males,50–54,5,1.2,C50
Actual,Breast cancer,1989,Males,55–59,6,1.6,C50
Actual,Breast cancer,1989,Males,60–64,11,3.0,C50
Actual,Breast cancer,1989,Males,65–69,14,4.6,C50
Actual,Breast cancer,1989,Males,70–74,9,4.2,C50
Actual,Breast cancer,1989,Males,75–79,9,6.0,C50
Actual,Breast cancer,1989,Males,80–84,5,6.5,C50
Actual,Breast cancer,1989,Males,85–89,0,0.0,C50
Actual,Breast cancer,1989,Males,90+,1,10.5,C50
Actual,Breast cancer,1989,Males,Unknown,0,. .,C50
Actual,Breast cancer,1990,Males,00–04,0,0.0,C50
Actual,Breast cancer,1990,Males,05–09,0,0.0,C50
Actual,Breast cancer,1990,Males,10–14,0,0.0,C50
Actual,Breast cancer,1990,Males,15–19,0,0.0,C50
Actual,Breast cancer,1990,Males,20–24,0,0.0,C50
Actual,Breast cancer,1990,Males,25–29,0,0.0,C50
Actual,Breast cancer,1990,Males,30–34,2,0.3,C50
Actual,Breast cancer,1990,Males,35–39,2,0.3,C50
Actual,Breast cancer,1990,Males,40–44,3,0.5,C50
Actual,Breast cancer,1990,Males,45–49,4,0.8,C50
Actual,Breast cancer,1990,Males,50–54,2,0.5,C50
Actual,Breast cancer,1990,Males,55–59,5,1.4,C50
Actual,Breast cancer,1990,Males,60–64,16,4.4,C50
Actual,Breast cancer,1990,Males,65–69,12,3.8,C50
Actual,Breast cancer,1990,Males,70–74,9,4.1,C50
Actual,Breast cancer,1990,Males,75–79,16,10.4,C50
Actual,Breast cancer,1990,Males,80–84,6,7.4,C50
Actual,Breast cancer,1990,Males,85–89,3,9.5,C50
Actual,Breast cancer,1990,Males,90+,0,0.0,C50
Actual,Breast cancer,1990,Males,Unknown,0,. .,C50
Actual,Breast cancer,1991,Males,00–04,0,0.0,C50
Actual,Breast cancer,1991,Males,05–09,0,0.0,C50
Actual,Breast cancer,1991,Males,10–14,0,0.0,C50
Actual,Breast cancer,1991,Males,15–19,0,0.0,C50
Actual,Breast cancer,1991,Males,20–24,0,0.0,C50
Actual,Breast cancer,1991,Males,25–29,0,0.0,C50
Actual,Breast cancer,1991,Males,30–34,1,0.1,C50
Actual,Breast cancer,1991,Males,35–39,1,0.2,C50
Actual,Breast cancer,1991,Males,40–44,2,0.3,C50
Actual,Breast cancer,1991,Males,45–49,2,0.4,C50
Actual,Breast cancer,1991,Males,50–54,1,0.2,C50
Actual,Breast cancer,1991,Males,55–59,3,0.8,C50
Actual,Breast cancer,1991,Males,60–64,10,2.7,C50
Actual,Breast cancer,1991,Males,65–69,9,2.8,C50
Actual,Breast cancer,1991,Males,70–74,14,6.1,C50
Actual,Breast cancer,1991,Males,75–79,7,4.4,C50
Actual,Breast cancer,1991,Males,80–84,10,11.8,C50
Actual,Breast cancer,1991,Males,85–89,2,5.9,C50
Actual,Breast cancer,1991,Males,90+,1,9.6,C50
Actual,Breast cancer,1991,Males,Unknown,0,. .,C50
Actual,Breast cancer,1992,Males,00–04,0,0.0,C50
Actual,Breast cancer,1992,Males,05–09,0,0.0,C50
Actual,Breast cancer,1992,Males,10–14,0,0.0,C50
Actual,Breast cancer,1992,Males,15–19,0,0.0,C50
Actual,Breast cancer,1992,Males,20–24,0,0.0,C50
Actual,Breast cancer,1992,Males,25–29,0,0.0,C50
Actual,Breast cancer,1992,Males,30–34,1,0.1,C50
Actual,Breast cancer,1992,Males,35–39,0,0.0,C50
Actual,Breast cancer,1992,Males,40–44,1,0.2,C50
Actual,Breast cancer,1992,Males,45–49,1,0.2,C50
Actual,Breast cancer,1992,Males,50–54,4,0.9,C50
Actual,Breast cancer,1992,Males,55–59,8,2.1,C50
Actual,Breast cancer,1992,Males,60–64,5,1.4,C50
Actual,Breast cancer,1992,Males,65–69,8,2.5,C50
Actual,Breast cancer,1992,Males,70–74,4,1.7,C50
Actual,Breast cancer,1992,Males,75–79,8,4.9,C50
Actual,Breast cancer,1992,Males,80–84,6,6.8,C50
Actual,Breast cancer,1992,Males,85–89,3,8.4,C50
Actual,Breast cancer,1992,Males,90+,1,8.7,C50
Actual,Breast cancer,1992,Males,Unknown,0,. .,C50
Actual,Breast cancer,1993,Males,00–04,0,0.0,C50
Actual,Breast cancer,1993,Males,05–09,0,0.0,C50
Actual,Breast cancer,1993,Males,10–14,0,0.0,C50
Actual,Breast cancer,1993,Males,15–19,0,0.0,C50
Actual,Breast cancer,1993,Males,20–24,0,0.0,C50
Actual,Breast cancer,1993,Males,25–29,0,0.0,C50
Actual,Breast cancer,1993,Males,30–34,0,0.0,C50
Actual,Breast cancer,1993,Males,35–39,4,0.6,C50
Actual,Breast cancer,1993,Males,40–44,1,0.2,C50
Actual,Breast cancer,1993,Males,45–49,2,0.3,C50
Actual,Breast cancer,1993,Males,50–54,4,0.9,C50
Actual,Breast cancer,1993,Males,55–59,7,1.8,C50
Actual,Breast cancer,1993,Males,60–64,10,2.8,C50
Actual,Breast cancer,1993,Males,65–69,11,3.3,C50
Actual,Breast cancer,1993,Males,70–74,9,3.6,C50
Actual,Breast cancer,1993,Males,75–79,6,3.7,C50
Actual,Breast cancer,1993,Males,80–84,10,10.7,C50
Actual,Breast cancer,1993,Males,85–89,0,0.0,C50
Actual,Breast cancer,1993,Males,90+,1,8.0,C50
Actual,Breast cancer,1993,Males,Unknown,0,. .,C50
Actual,Breast cancer,1994,Males,00–04,0,0.0,C50
Actual,Breast cancer,1994,Males,05–09,0,0.0,C50
Actual,Breast cancer,1994,Males,10–14,0,0.0,C50
Actual,Breast cancer,1994,Males,15–19,0,0.0,C50
Actual,Breast cancer,1994,Males,20–24,0,0.0,C50
Actual,Breast cancer,1994,Males,25–29,1,0.1,C50
Actual,Breast cancer,1994,Males,30–34,0,0.0,C50
Actual,Breast cancer,1994,Males,35–39,2,0.3,C50
Actual,Breast cancer,1994,Males,40–44,0,0.0,C50
Actual,Breast cancer,1994,Males,45–49,4,0.7,C50
Actual,Breast cancer,1994,Males,50–54,6,1.3,C50
Actual,Breast cancer,1994,Males,55–59,4,1.0,C50
Actual,Breast cancer,1994,Males,60–64,9,2.5,C50
Actual,Breast cancer,1994,Males,65–69,16,4.8,C50
Actual,Breast cancer,1994,Males,70–74,7,2.7,C50
Actual,Breast cancer,1994,Males,75–79,7,4.3,C50
Actual,Breast cancer,1994,Males,80–84,6,6.1,C50
Actual,Breast cancer,1994,Males,85–89,6,15.1,C50
Actual,Breast cancer,1994,Males,90+,3,22.3,C50
Actual,Breast cancer,1994,Males,Unknown,0,. .,C50
Actual,Breast cancer,1995,Males,00–04,0,0.0,C50
Actual,Breast cancer,1995,Males,05–09,0,0.0,C50
Actual,Breast cancer,1995,Males,10–14,0,0.0,C50
Actual,Breast cancer,1995,Males,15–19,0,0.0,C50
Actual,Breast cancer,1995,Males,20–24,0,0.0,C50
Actual,Breast cancer,1995,Males,25–29,0,0.0,C50
Actual,Breast cancer,1995,Males,30–34,1,0.1,C50
Actual,Breast cancer,1995,Males,35–39,0,0.0,C50
Actual,Breast cancer,1995,Males,40–44,5,0.8,C50
Actual,Breast cancer,1995,Males,45–49,4,0.6,C50
Actual,Breast cancer,1995,Males,50–54,5,1.0,C50
Actual,Breast cancer,1995,Males,55–59,8,2.0,C50
Actual,Breast cancer,1995,Males,60–64,4,1.1,C50
Actual,Breast cancer,1995,Males,65–69,8,2.4,C50
Actual,Breast cancer,1995,Males,70–74,7,2.6,C50
Actual,Breast cancer,1995,Males,75–79,6,3.6,C50
Actual,Breast cancer,1995,Males,80–84,6,5.9,C50
Actual,Breast cancer,1995,Males,85–89,3,7.1,C50
Actual,Breast cancer,1995,Males,90+,0,0.0,C50
Actual,Breast cancer,1995,Males,Unknown,0,. .,C50
Actual,Breast cancer,1996,Males,00–04,0,0.0,C50
Actual,Breast cancer,1996,Males,05–09,0,0.0,C50
Actual,Breast cancer,1996,Males,10–14,0,0.0,C50
Actual,Breast cancer,1996,Males,15–19,0,0.0,C50
Actual,Breast cancer,1996,Males,20–24,0,0.0,C50
Actual,Breast cancer,1996,Males,25–29,0,0.0,C50
Actual,Breast cancer,1996,Males,30–34,0,0.0,C50
Actual,Breast cancer,1996,Males,35–39,0,0.0,C50
Actual,Breast cancer,1996,Males,40–44,1,0.1,C50
Actual,Breast cancer,1996,Males,45–49,7,1.1,C50
Actual,Breast cancer,1996,Males,50–54,7,1.4,C50
Actual,Breast cancer,1996,Males,55–59,8,1.9,C50
Actual,Breast cancer,1996,Males,60–64,11,3.1,C50
Actual,Breast cancer,1996,Males,65–69,12,3.6,C50
Actual,Breast cancer,1996,Males,70–74,15,5.5,C50
Actual,Breast cancer,1996,Males,75–79,12,6.7,C50
Actual,Breast cancer,1996,Males,80–84,7,6.6,C50
Actual,Breast cancer,1996,Males,85–89,6,13.5,C50
Actual,Breast cancer,1996,Males,90+,1,6.5,C50
Actual,Breast cancer,1996,Males,Unknown,0,. .,C50
Actual,Breast cancer,1997,Males,00–04,0,0.0,C50
Actual,Breast cancer,1997,Males,05–09,1,0.1,C50
Actual,Breast cancer,1997,Males,10–14,0,0.0,C50
Actual,Breast cancer,1997,Males,15–19,0,0.0,C50
Actual,Breast cancer,1997,Males,20–24,1,0.1,C50
Actual,Breast cancer,1997,Males,25–29,0,0.0,C50
Actual,Breast cancer,1997,Males,30–34,1,0.1,C50
Actual,Breast cancer,1997,Males,35–39,0,0.0,C50
Actual,Breast cancer,1997,Males,40–44,3,0.4,C50
Actual,Breast cancer,1997,Males,45–49,6,0.9,C50
Actual,Breast cancer,1997,Males,50–54,2,0.4,C50
Actual,Breast cancer,1997,Males,55–59,5,1.2,C50
Actual,Breast cancer,1997,Males,60–64,9,2.5,C50
Actual,Breast cancer,1997,Males,65–69,7,2.1,C50
Actual,Breast cancer,1997,Males,70–74,13,4.6,C50
Actual,Breast cancer,1997,Males,75–79,14,7.4,C50
Actual,Breast cancer,1997,Males,80–84,7,6.5,C50
Actual,Breast cancer,1997,Males,85–89,2,4.2,C50
Actual,Breast cancer,1997,Males,90+,0,0.0,C50
Actual,Breast cancer,1997,Males,Unknown,0,. .,C50
Actual,Breast cancer,1998,Males,00–04,0,0.0,C50
Actual,Breast cancer,1998,Males,05–09,0,0.0,C50
Actual,Breast cancer,1998,Males,10–14,0,0.0,C50
Actual,Breast cancer,1998,Males,15–19,0,0.0,C50
Actual,Breast cancer,1998,Males,20–24,1,0.1,C50
Actual,Breast cancer,1998,Males,25–29,0,0.0,C50
Actual,Breast cancer,1998,Males,30–34,0,0.0,C50
Actual,Breast cancer,1998,Males,35–39,1,0.1,C50
Actual,Breast cancer,1998,Males,40–44,2,0.3,C50
Actual,Breast cancer,1998,Males,45–49,7,1.1,C50
Actual,Breast cancer,1998,Males,50–54,3,0.5,C50
Actual,Breast cancer,1998,Males,55–59,11,2.5,C50
Actual,Breast cancer,1998,Males,60–64,17,4.6,C50
Actual,Breast cancer,1998,Males,65–69,16,4.8,C50
Actual,Breast cancer,1998,Males,70–74,13,4.5,C50
Actual,Breast cancer,1998,Males,75–79,11,5.5,C50
Actual,Breast cancer,1998,Males,80–84,6,5.4,C50
Actual,Breast cancer,1998,Males,85–89,0,0.0,C50
Actual,Breast cancer,1998,Males,90+,2,11.4,C50
Actual,Breast cancer,1998,Males,Unknown,0,. .,C50
Actual,Breast cancer,1999,Males,00–04,0,0.0,C50
Actual,Breast cancer,1999,Males,05–09,0,0.0,C50
Actual,Breast cancer,1999,Males,10–14,0,0.0,C50
Actual,Breast cancer,1999,Males,15–19,0,0.0,C50
Actual,Breast cancer,1999,Males,20–24,0,0.0,C50
Actual,Breast cancer,1999,Males,25–29,0,0.0,C50
Actual,Breast cancer,1999,Males,30–34,1,0.1,C50
Actual,Breast cancer,1999,Males,35–39,0,0.0,C50
Actual,Breast cancer,1999,Males,40–44,4,0.6,C50
Actual,Breast cancer,1999,Males,45–49,4,0.6,C50
Actual,Breast cancer,1999,Males,50–54,4,0.7,C50
Actual,Breast cancer,1999,Males,55–59,9,1.9,C50
Actual,Breast cancer,1999,Males,60–64,7,1.8,C50
Actual,Breast cancer,1999,Males,65–69,14,4.2,C50
Actual,Breast cancer,1999,Males,70–74,12,4.1,C50
Actual,Breast cancer,1999,Males,75–79,12,5.7,C50
Actual,Breast cancer,1999,Males,80–84,3,2.7,C50
Actual,Breast cancer,1999,Males,85–89,4,7.5,C50
Actual,Breast cancer,1999,Males,90+,0,0.0,C50
Actual,Breast cancer,1999,Males,Unknown,0,. .,C50
Actual,Breast cancer,2000,Males,00–04,0,0.0,C50
Actual,Breast cancer,2000,Males,05–09,0,0.0,C50
Actual,Breast cancer,2000,Males,10–14,0,0.0,C50
Actual,Breast cancer,2000,Males,15–19,0,0.0,C50
Actual,Breast cancer,2000,Males,20–24,0,0.0,C50
Actual,Breast cancer,2000,Males,25–29,1,0.1,C50
Actual,Breast cancer,2000,Males,30–34,0,0.0,C50
Actual,Breast cancer,2000,Males,35–39,2,0.3,C50
Actual,Breast cancer,2000,Males,40–44,3,0.4,C50
Actual,Breast cancer,2000,Males,45–49,6,0.9,C50
Actual,Breast cancer,2000,Males,50–54,5,0.8,C50
Actual,Breast cancer,2000,Males,55–59,6,1.2,C50
Actual,Breast cancer,2000,Males,60–64,5,1.3,C50
Actual,Breast cancer,2000,Males,65–69,8,2.4,C50
Actual,Breast cancer,2000,Males,70–74,19,6.4,C50
Actual,Breast cancer,2000,Males,75–79,15,6.9,C50
Actual,Breast cancer,2000,Males,80–84,6,5.1,C50
Actual,Breast cancer,2000,Males,85–89,2,3.5,C50
Actual,Breast cancer,2000,Males,90+,2,9.7,C50
Actual,Breast cancer,2000,Males,Unknown,0,. .,C50
Actual,Breast cancer,2001,Males,00–04,0,0.0,C50
Actual,Breast cancer,2001,Males,05–09,0,0.0,C50
Actual,Breast cancer,2001,Males,10–14,0,0.0,C50
Actual,Breast cancer,2001,Males,15–19,0,0.0,C50
Actual,Breast cancer,2001,Males,20–24,1,0.2,C50
Actual,Breast cancer,2001,Males,25–29,0,0.0,C50
Actual,Breast cancer,2001,Males,30–34,0,0.0,C50
Actual,Breast cancer,2001,Males,35–39,2,0.3,C50
Actual,Breast cancer,2001,Males,40–44,1,0.1,C50
Actual,Breast cancer,2001,Males,45–49,3,0.4,C50
Actual,Breast cancer,2001,Males,50–54,6,0.9,C50
Actual,Breast cancer,2001,Males,55–59,10,2.0,C50
Actual,Breast cancer,2001,Males,60–64,6,1.5,C50
Actual,Breast cancer,2001,Males,65–69,9,2.7,C50
Actual,Breast cancer,2001,Males,70–74,19,6.3,C50
Actual,Breast cancer,2001,Males,75–79,7,3.1,C50
Actual,Breast cancer,2001,Males,80–84,15,11.8,C50
Actual,Breast cancer,2001,Males,85–89,10,16.9,C50
Actual,Breast cancer,2001,Males,90+,0,0.0,C50
Actual,Breast cancer,2001,Males,Unknown,0,. .,C50
Actual,Breast cancer,2002,Males,00–04,0,0.0,C50
Actual,Breast cancer,2002,Males,05–09,0,0.0,C50
Actual,Breast cancer,2002,Males,10–14,0,0.0,C50
Actual,Breast cancer,2002,Males,15–19,0,0.0,C50
Actual,Breast cancer,2002,Males,20–24,0,0.0,C50
Actual,Breast cancer,2002,Males,25–29,0,0.0,C50
Actual,Breast cancer,2002,Males,30–34,1,0.1,C50
Actual,Breast cancer,2002,Males,35–39,3,0.4,C50
Actual,Breast cancer,2002,Males,40–44,2,0.3,C50
Actual,Breast cancer,2002,Males,45–49,1,0.1,C50
Actual,Breast cancer,2002,Males,50–54,5,0.8,C50
Actual,Breast cancer,2002,Males,55–59,15,2.7,C50
Actual,Breast cancer,2002,Males,60–64,14,3.3,C50
Actual,Breast cancer,2002,Males,65–69,9,2.6,C50
Actual,Breast cancer,2002,Males,70–74,13,4.3,C50
Actual,Breast cancer,2002,Males,75–79,6,2.6,C50
Actual,Breast cancer,2002,Males,80–84,12,8.8,C50
Actual,Breast cancer,2002,Males,85–89,2,3.3,C50
Actual,Breast cancer,2002,Males,90+,0,0.0,C50
Actual,Breast cancer,2002,Males,Unknown,0,. .,C50
Actual,Breast cancer,2003,Males,00–04,0,0.0,C50
Actual,Breast cancer,2003,Males,05–09,0,0.0,C50
Actual,Breast cancer,2003,Males,10–14,0,0.0,C50
Actual,Breast cancer,2003,Males,15–19,0,0.0,C50
Actual,Breast cancer,2003,Males,20–24,2,0.3,C50
Actual,Breast cancer,2003,Males,25–29,0,0.0,C50
Actual,Breast cancer,2003,Males,30–34,0,0.0,C50
Actual,Breast cancer,2003,Males,35–39,3,0.4,C50
Actual,Breast cancer,2003,Males,40–44,4,0.5,C50
Actual,Breast cancer,2003,Males,45–49,2,0.3,C50
Actual,Breast cancer,2003,Males,50–54,10,1.5,C50
Actual,Breast cancer,2003,Males,55–59,9,1.6,C50
Actual,Breast cancer,2003,Males,60–64,13,3.0,C50
Actual,Breast cancer,2003,Males,65–69,14,4.0,C50
Actual,Breast cancer,2003,Males,70–74,15,5.0,C50
Actual,Breast cancer,2003,Males,75–79,13,5.5,C50
Actual,Breast cancer,2003,Males,80–84,8,5.6,C50
Actual,Breast cancer,2003,Males,85–89,4,6.4,C50
Actual,Breast cancer,2003,Males,90+,2,8.2,C50
Actual,Breast cancer,2003,Males,Unknown,0,. .,C50
Actual,Breast cancer,2004,Males,00–04,0,0.0,C50
Actual,Breast cancer,2004,Males,05–09,0,0.0,C50
Actual,Breast cancer,2004,Males,10–14,0,0.0,C50
Actual,Breast cancer,2004,Males,15–19,0,0.0,C50
Actual,Breast cancer,2004,Males,20–24,0,0.0,C50
Actual,Breast cancer,2004,Males,25–29,0,0.0,C50
Actual,Breast cancer,2004,Males,30–34,2,0.3,C50
Actual,Breast cancer,2004,Males,35–39,0,0.0,C50
Actual,Breast cancer,2004,Males,40–44,3,0.4,C50
Actual,Breast cancer,2004,Males,45–49,5,0.7,C50
Actual,Breast cancer,2004,Males,50–54,7,1.1,C50
Actual,Breast cancer,2004,Males,55–59,11,1.8,C50
Actual,Breast cancer,2004,Males,60–64,14,3.1,C50
Actual,Breast cancer,2004,Males,65–69,13,3.6,C50
Actual,Breast cancer,2004,Males,70–74,12,4.0,C50
Actual,Breast cancer,2004,Males,75–79,19,7.8,C50
Actual,Breast cancer,2004,Males,80–84,17,11.2,C50
Actual,Breast cancer,2004,Males,85–89,4,6.2,C50
Actual,Breast cancer,2004,Males,90+,0,0.0,C50
Actual,Breast cancer,2004,Males,Unknown,0,. .,C50
Actual,Breast cancer,2005,Males,00–04,0,0.0,C50
Actual,Breast cancer,2005,Males,05–09,0,0.0,C50
Actual,Breast cancer,2005,Males,10–14,0,0.0,C50
